possible_moves,phase,search_time
31,9,5.639394044876099
32,9,11.66555380821228
3,9,1.7457001209259033
31,9,2.203094005584717
1,7,0.3147759437561035
22,5,1.8856639862060547
4,5,0.7028248310089111
27,5,2.66967511177063
20,5,1.567317008972168
22,5,1.2196359634399414
23,5,2.49033784866333
6,5,1.1123168468475342
20,5,1.7283551692962646
32,5,3.1136507987976074
19,5,3.418632984161377
26,5,0.9700908660888672
20,5,1.9191081523895264
31,5,3.3821029663085938
19,5,2.636478900909424
31,5,1.5424237251281738
20,5,3.2576661109924316
7,5,0.6371152400970459
22,5,3.4912009239196777
25,5,0.8371820449829102
20,5,2.412652015686035
24,5,1.0623490810394287
19,5,2.4502058029174805
27,5,2.2159512042999268
17,5,1.3348541259765625
25,5,1.2274231910705566
5,5,0.9295799732208252
28,5,0.9597680568695068
4,5,0.5420260429382324
24,5,1.0433690547943115
2,5,0.2517108917236328
24,5,1.6095302104949951
4,5,0.49398207664489746
24,5,1.1633639335632324
2,5,0.3882277011871338
24,5,0.6709840297698975
4,5,0.7324120998382568
24,5,1.4111502170562744
2,5,0.3786048889160156
24,5,1.2036478519439697
4,5,0.6702902317047119
24,5,0.8192439079284668
2,5,0.42322301864624023
24,5,1.859847068786621
20,5,1.2411856651306152
23,5,0.8454618453979492
4,5,0.3231055736541748
23,5,0.5465340614318848
2,5,0.3490121364593506
23,5,1.2762699127197266
4,5,0.5632200241088867
23,5,0.8078138828277588
2,5,0.27321815490722656
23,5,0.7001609802246094
4,5,0.4434959888458252
23,5,0.884476900100708
2,5,0.30347323417663574
23,5,0.8608241081237793
4,5,0.43553829193115234
23,5,0.8690958023071289
2,5,0.31362485885620117
23,5,1.1847732067108154
17,5,1.0583391189575195
23,5,1.0081517696380615
4,5,0.5173659324645996
23,5,0.9801521301269531
4,5,0.5667669773101807
27,5,0.9375479221343994
4,5,0.5440061092376709
23,5,0.814694881439209
4,5,0.6144239902496338
27,5,1.600620985031128
4,5,0.5713739395141602
23,5,1.0984160900115967
4,5,0.7375919818878174
